date,first_name,last_name,company,email,newsletter
25/10/2016,David,Beckham,Chelsea,dbeckham@chelsea.com,
25/10/2016,Lincoln,Abraham,White House,labraham@whitehouse.com,
06/11/2016,Daniel,Olbrycht,TPSA,ijelonek@live.co.uk,yes
06/11/2016,Alexis,Hart,ICM,ijelonek@live.co.yj,yes
06/11/2016,Esther,Lau,ho,ijelonek@live.co.uk,yes
06/11/2016,Daniela,Bordo,Space Crafts,ijelonek@live.co.uk,yes
06/11/2016,Victoria,Beckham,Spice Girls,ijelonek@live.co.uk,yes
06/11/2016,Simon,Cowell,Xfactor,ijelonek@live.co.uk,yes
06/11/2016,Britney ,Spears,top charts,ijelonek@live.co.uk,yes
06/11/2016,Alice,Murphy,Anglostar,ijelonek@live.co.uk,yes
06/11/2016,Evelina ,Gooding,biclass,ijelonek@live.co.uk,yes
06/11/2016,Izabela,Jelonek,MyOwn Self,ijelonek@live.co.uk,yes
06/11/2016,Natalia,Perun,Hounslow East,ijelonek@live.co.uk,yes
06/11/2016,David,Parzonka,Fryz.com,ijelonek@live.co.uk,yes
06/11/2016,David,Parzonka,Fryz.com,ijelonek@live.co.uk,yes
06/11/2016,David,Parzonka,Fryz.com,ijelonek@live.co.uk,yes
07/11/2016,izabela,Jelonek,cfg,ijelonek@live.co.uk,yes
07/11/2016,dsff,sfdsf,fdsfs,ijelonek@live.co.uk,yes
